CRASH_UNIT_ID,CRASH_RECORD_ID,CRASH_DATE,UNIT_NO,UNIT_TYPE,NUM_PASSENGERS,VEHICLE_ID,CMRC_VEH_I,MAKE,MODEL,LIC_PLATE_STATE,VEHICLE_YEAR,VEHICLE_DEFECT,VEHICLE_TYPE,VEHICLE_USE,TRAVEL_DIRECTION,MANEUVER,TOWED_I,FIRE_I,OCCUPANT_CNT,EXCEED_SPEED_LIMIT_I,TOWED_BY,TOWED_TO,AREA_00_I,AREA_01_I,AREA_02_I,AREA_03_I,AREA_04_I,AREA_05_I,AREA_06_I,AREA_07_I,AREA_08_I,AREA_09_I,AREA_10_I,AREA_11_I,AREA_12_I,AREA_99_I,FIRST_CONTACT_POINT,CMV_ID,USDOT_NO,CCMC_NO,ILCC_NO,COMMERCIAL_SRC,GVWR,CARRIER_NAME,CARRIER_STATE,CARRIER_CITY,HAZMAT_PLACARDS_I,HAZMAT_NAME,UN_NO,HAZMAT_PRESENT_I,HAZMAT_REPORT_I,HAZMAT_REPORT_NO,MCS_REPORT_I,MCS_REPORT_NO,HAZMAT_VIO_CAUSE_CRASH_I,MCS_VIO_CAUSE_CRASH_I,IDOT_PERMIT_NO,WIDE_LOAD_I,TRAILER1_WIDTH,TRAILER2_WIDTH,TRAILER1_LENGTH,TRAILER2_LENGTH,TOTAL_VEHICLE_LENGTH,AXLE_CNT,VEHICLE_CONFIG,CARGO_BODY_TYPE,LOAD_TYPE,HAZMAT_OUT_OF_SERVICE_I,MCS_OUT_OF_SERVICE_I,HAZMAT_CLASS
1973684,9d8272483c01c20bde2d269db47d217267846e5f6126fbf21b178350bd299e4e07c63052ea2daf0ab74aec11998ec3e9ef622cb07a74ab04ca29109893ae4110,12/21/2024 02:20:00 PM,1,DRIVER,,1880498,,UNKNOWN,MOTORIZED,XX,,UNKNOWN,MOPED OR MOTORIZED BICYCLE,PERSONAL,S,ENTER FROM DRIVE/ALLEY,,,1,,,,,,,,,,,,,,,,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971739,81b9bd1142a056a5dd0a1e6228e3abdd2444176800fda3f7ed928f29f72dcae86353d876840d2c747fc5d494f42f24313316365fcd612b55f9796958da7cd7ab,12/18/2024 05:38:00 PM,1,DRIVER,,1878624,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),,,UNKNOWN,MOPED OR MOTORIZED BICYCLE,PERSONAL,N,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,,,,Y,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971226,4fc7463c094e70a614198bd5d9555768da122382e70e939da2b65dbaed4967361b7c479fc508f7726792f2e18be65eeb79cb041ea9e3022999f0f05a35fb0669,12/17/2024 10:56:00 PM,1,DRIVER,1,1878140,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),IL,,UNKNOWN,MOPED OR MOTORIZED BICYCLE,PERSONAL,E,STRAIGHT AHEAD,Y,,2,,city of chicago,Lower Wacker,,Y,,,,,,,Y,Y,Y,Y,Y,,TOTAL (ALL AREAS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967911,92dce173be505a7846ca571fcee740e5e3a79d354bf61404822ce3e7cae5856ba8018ae06d336bfc054925856be74a815945c68b3a44fbaec5ff9ad6c2c1cb10,12/13/2024 12:58:00 PM,1,DRIVER,,1876310,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),,,NONE,MOPED OR MOTORIZED BICYCLE,PERSONAL,N,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,,,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966169,f4ba62f428523478885a2c2576a9ac4d6c8b84aded732fc8e0741c70af1bcc609d64612d5a4ccc22e0b964dd8ae89fc5556814de805bdbeaf66664d3bf3fa858,12/10/2024 12:00:00 AM,2,PARKED,,1873275,,CHEVROLET,BLAZER,IL,2020,UNKNOWN,MOPED OR MOTORIZED BICYCLE,NOT IN USE,E,PARKED,,,0,,,,,Y,,,,,,,,,,Y,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952428,153a3c73c0bfb604234f04359283a080b8482f1ce6deb7e980dd7c2029698a382ee7b85f51cc84479558d3a1decd4a666f274e79699caca77287883b7372a47e,11/19/2024 07:59:00 AM,2,DRIVER,,1860042,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),IL,2024,NONE,MOPED OR MOTORIZED BICYCLE,PERSONAL,S,STRAIGHT AHEAD,Y,,1,,private,,,,,,,,,,Y,Y,Y,,,,SIDE-LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948801,bc864983a1ea1e0db35eb22c6170e01abbab8db7c18d7d7c397a0764e36f814601e845ec0b7cb918e35bddf36feb1314b8693664651aa3624dec269c9e894059,11/13/2024 06:57:00 PM,2,DRIVER,,1856551,,YAMAHA,YAMAHA,IL,2012,UNKNOWN,MOPED OR MOTORIZED BICYCLE,PERSONAL,N,STRAIGHT AHEAD,,,1,,,,,,,Y,Y,,,,,,,,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944566,a03d57cb28a21c716e7e9b5555fde90fccc2a2be8f306ea8d1f11b18c85be5d445b36cdd97e4597f94045738d6f618604f71de71108d4cf1e62b2efcdf92b862,11/07/2024 01:30:00 PM,1,DRIVER,,1852536,,UNKNOWN,OPEN BODY,,,UNKNOWN,MOPED OR MOTORIZED BICYCLE,UNKNOWN/NA,S,OTHER,,,1,,,,,Y,,,,,,,,,,Y,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942132,1a7f11cb703912324931e419bd4029d2c0b35688d263d54df6451ae4ce6b6a13790728312d5e44ab1e80c6c7ce775227da21aea920b1e653fb24adc58fc7271c,11/03/2024 07:15:00 PM,2,DRIVER,,1850228,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),IL,,NONE,MOPED OR MOTORIZED BICYCLE,OTHER,N,STRAIGHT AHEAD,Y,,1,,CITY OF CHICAGO,,,,,,,,,,,,Y,Y,,,FRONT-LEFT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940981,047844acca0e5e68e1f6fdabff7a5b1ff7f88e9e670f02c013162e3df3e6d8b6d856c777ba7b393117e53882d3ef0d61ba5028e6fe70e6bd500e6f6d05c25bcb,11/01/2024 10:12:00 PM,2,DRIVERLESS,,1849110,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),NY,2024,NONE,MOPED OR MOTORIZED BICYCLE,PERSONAL,E,PARKED,,,0,,,,,,,,,,Y,,,,,,Y,,REAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
